#Frame      Dih_00001    Dih_00002
       1    -160.1457     -52.9330
       2     146.8389    -158.2253
       3    -159.5416     -57.4330
       4    -179.9971     -48.6280
       5    -167.2696     -47.5546
       6     161.7477    -115.2293
       7    -165.9172     -31.2637
       8     159.7944     -93.3722
       9     179.4917     -52.1051
      10     172.9958    -111.4876
      11    -170.0831     -66.4623
      12    -176.1297     -48.1460
      13    -159.8121     -41.0068
      14    -175.0533     -36.3779
      15     157.1846    -168.2842
      16     173.5489     -92.2308
      17    -159.3844     -32.9969
      18     156.7298     -93.2693
      19    -167.3508     -44.9250
      20    -165.8165     -25.0478
      21     173.0572     -50.6643
      22    -172.5706     -57.7796
      23    -169.7932     -60.3330
      24     153.5172     -47.6771
      25    -165.0477     -51.4213
      26     170.4246    -103.3956
      27     167.3222    -124.0847
      28    -173.8890     -42.7488
      29    -172.1166     -52.4708
      30     166.0875      49.5564
      31     147.7617    -141.7644
      32     160.0678     -61.7642
      33    -155.5965     -58.6151
      34     162.1014    -137.8427
      35     175.7140     -46.2266
      36     169.1214    -139.4268
      37    -173.4499     -43.2185
      38    -159.4694     -51.8350
      39     150.3192    -110.5020
      40     172.2774    -146.8404
      41    -167.2763     -39.9046
      42     162.6075      57.2786
      43    -167.2023     -63.4718
      44     175.2918     -52.1199
      45     167.7874    -152.3824
      46    -167.8436     -28.1128
      47     168.3441     -79.6042
      48    -168.7579     -39.4714
      49    -176.0931     -64.1837
      50     155.6548    -134.2277
      51    -172.5768     -42.3160
      52    -165.9312     -53.9388
      53     160.4652     -54.5258
      54     160.4135     -47.8631
      55    -167.6842     -53.6889
      56     165.7647      74.7799
      57    -155.8461     -37.8833
      58    -178.3693     -55.4907
      59     148.2707      86.1848
      60     174.8932     -83.5648
      61    -167.4784     -30.4346
      62     174.7992    -121.6762
      63     173.8276     -43.0916
      64    -168.4352     -51.7867
      65    -158.7539     -53.7511
      66    -169.1410     -55.1054
      67     121.5778    -159.3702
      68    -165.7910     -52.3789
      69    -169.7392    -100.3584
      70     154.4297    -104.1513
      71    -169.5863     -38.1731
      72     179.6045     -26.6039
      73    -172.6995     -64.1632
      74     177.0797    -158.4942
      75    -158.4086     -50.9682
      76     162.4249      60.9958
      77    -153.5167     -40.9831
      78     161.6059    -160.5457
      79    -179.3604     -53.1063
      80    -178.1603     -34.4076
      81     175.8165    -124.2130
      82     165.7296    -131.7067
      83     155.1469    -145.4579
      84    -173.4016     -28.4358
      85     176.5615     -51.6816
      86    -176.0088     -48.5033
      87    -166.6038     -63.5261
      88    -169.4210     -58.4068
      89    -161.1023     -69.5214
      90    -168.2070     -45.6651
      91     144.5866      48.8976
      92     179.5594     -56.1368
      93    -169.9640     -38.4651
      94    -163.8849       3.7073
      95     164.9603    -135.6482
      96    -172.8106     -36.2726
      97     176.3971     -86.2158
      98    -165.9013     -55.4806
      99    -178.2966     -48.6634
     100    -178.5766     -50.5112
     101     162.7066      70.0406
     102     169.0542     -76.8778
     103    -163.3306     -39.1883
     104     176.6822     -80.8976
     105     165.1207    -171.7668
     106     160.7505     -48.0922
     107     179.4730     -84.8603
     108    -163.7272     -37.8186
     109    -166.6916     -52.0390
     110     162.1316      72.6117
     111    -167.2888     -37.7931
     112     166.3150     -54.7786
     113     172.5396     -48.5925
     114     174.6013     -98.0762
     115     173.9817     -55.1314
