,loop-open,asp-open,loop-closed,asp-closed
0.0,1.4599357352490703,1.9125337807905862,4.4202951790756595,5.58029363635456
0.005,1.4870898098517729,1.2982755195133424,4.674158871110249,6.533889935487755
0.01,1.3886326507344973,1.5204828386435634,4.649168338022425,6.727250872287128
0.015,1.349739702349568,1.1810070444784662,4.62914557783453,6.265742565408614
0.02,1.3968811965806396,1.2375900181910795,4.718872789280026,6.425739914824819
0.025,1.5721826905462986,0.9477770411663732,4.634343589708305,6.185652810689335
0.03,1.5716426504543441,1.6946141420054477,4.485840767029644,5.4757274571969665
0.035,1.7369093543369392,1.7308598593900013,4.72073640418512,5.620902244682094
0.04,1.6405367945124323,1.5826570835200653,4.970568911967248,5.950465885492669
0.045,1.6881541994884546,2.105890957870493,4.468172240113008,5.128355748742373
0.05,1.4798093807861858,1.558400140635045,4.612439557542399,5.6189051094461915
0.055,1.7345568662960098,1.8173242112271322,4.670753843233819,5.731382719758808
0.06,1.6935273779163043,1.8041728582069223,4.665571404320966,5.428511801581441
0.065,1.7298602076995206,1.424221961961451,4.65913450372583,6.103736410249537
0.07,1.8539448879662312,1.7272269074098616,4.853584717339227,6.034045864344038
0.075,1.7752651865799902,1.7188616515400263,4.421282963162226,5.481045078100784
0.08,1.960389009010188,2.088390748044026,4.135340570865486,5.245126262787553
0.085,1.9810017693540138,2.149054523791673,4.34583201170707,5.294527969802142
0.09,1.9123054787700406,1.8108624563391231,4.701351866752471,5.542392789764788
0.095,1.5175874127398992,1.3793300733056444,4.572449936564148,5.68331423115469
0.1,1.684060177995758,1.6332783112898681,4.421412768547385,5.470431343946126
0.105,2.0002485400030743,1.7265678500593094,4.502538085859701,5.780058848582447
0.11,1.784972115122145,1.4904936049611273,4.799120388646364,5.680914519467808
0.115,1.689188972352067,1.6904656083485843,4.318657475304905,5.6468996012841055
0.12,1.9129537996995696,1.6562073259776946,4.623073316784811,5.914582194669704
0.125,2.0981787457162695,1.9111718932572614,4.61574705705281,5.7158013575621105
0.13,1.7245089131322449,1.596334680095368,4.676371610888533,5.920432431552843
0.135,1.577132687561902,1.4119587377616962,4.915607250677129,6.239489317683057
0.14,1.7587206243509685,1.685780532369869,5.064214999370321,5.740819317456971
0.145,1.739594325932031,1.785335841255301,4.599028932875143,5.496663804199618
0.15,1.5419898328832191,1.5172201491351969,4.600643159296048,5.896972050075854
0.155,1.6245508405700437,1.752315639908537,4.882583413911238,5.867220556914139
0.16,1.7117186110278153,2.000973745762891,4.549376231714934,5.342056173027151
0.165,1.6932631658485204,1.5503990987472072,4.734355319639056,6.2740794319147
0.17,1.9136081055456848,1.9274560822127809,5.205493152165801,5.822122637326053
0.17500000000000002,1.6071712978718526,2.0811814162711513,4.570467138450571,5.098007175859934
0.18,1.527446766748702,1.8397112924267454,4.315318655275384,5.604298105238665
0.185,1.4839449364152169,1.5759564506020864,4.857507934112572,5.917489383206898
0.19,1.7693271341684254,1.912697369579054,4.8054188200988035,5.722601957446055
0.195,1.595577759077668,1.6728340344526773,4.728067219628625,6.080973312111517
0.2,1.6740762185177451,1.83971801521392,4.546017878914297,5.617552149524059
0.20500000000000002,1.8153286843179774,1.1993428454492165,5.411583642304311,6.368150849493377
0.21,2.0094510610885274,1.6421795811960298,5.4204432726096305,6.217878136492573
0.215,1.51331733856662,1.6951771952695769,4.802353955693583,5.639732222072673
0.22,1.5545854514935242,1.5959338225908202,4.931308783723777,5.776996318815544
0.225,2.022164762513701,1.7136975980607594,5.190550038836468,5.66070006381854
0.23,1.8010192486389842,1.7857063183991357,5.215745707860637,5.850509199293703
